"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","Celltype"
1.88396183604079e-35,0.821495592583763,0.991,0.837,3.07839364009065e-31,"0","LIX1","AVC"
3.05789700586149e-35,1.01746453059759,0.974,0.635,4.99660370757768e-31,"0","KIAA1324L","AVC"
9.16249050241337e-35,1.44589905448971,0.824,0.423,1.49715094809434e-30,"0","AHNAK","AVC"
1.17719339979231e-34,0.896910609845599,0.987,0.787,1.92353401526064e-30,"0","IFITM3","AVC"
3.22817054527252e-34,2.107946547742,0.639,0.245,5.27483067097529e-30,"0","SEMA3C","AVC"
3.97553147161147e-34,2.51396315773564,0.379,0.065,6.49601842461314e-30,"0","MFAP4","AVC"
7.40647062236213e-34,1.46441582177044,0.868,0.525,1.21021729969397e-29,"0","WNT11","AVC"
7.62543726839236e-34,0.974698973097089,0.969,0.805,1.24599644965531e-29,"0","PKP2","AVC"
8.15602173015871e-34,1.49085942098403,0.692,0.259,1.33269395070793e-29,"0","KRT19","AVC"
1.1111613463068e-33,1.22409125180546,0.894,0.523,1.81563763986532e-29,"0","MYO1D","AVC"
1.88550807361905e-33,2.27481722238672,0.379,0.066,3.08092019229353e-29,"0","PDE3A","AVC"
3.30569999825634e-33,1.00915965193657,0.974,0.74,5.40151379715086e-29,"0","CGNL1","AVC"
7.71423340060311e-33,1.76402684946976,0.758,0.362,1.26050573765855e-28,"0","PTN","AVC"
9.56180451944034e-33,1.41303885197703,0.824,0.396,1.56239885847655e-28,"0","TSPAN7","AVC"
3.20750460566006e-32,4.31741446774507,0.251,0.021,5.24106252564854e-28,"0","HPSE2","AVC"
4.30739377753093e-32,2.27400616545338,0.652,0.264,7.03828143248554e-28,"0","SERPINI1","AVC"
5.76878119998518e-32,0.974348709215874,0.982,0.781,9.42618848077578e-28,"0","PKIA","AVC"
6.07089832113472e-32,1.2180290532945,0.833,0.432,9.91984785673414e-28,"0","IGSF3","AVC"
9.74004382301325e-32,0.874579058635452,0.982,0.815,1.59152316068037e-27,"0","PYGM","AVC"
9.95495602632251e-32,2.16560503492948,0.436,0.1,1.6266398147011e-27,"0","PCDH20","AVC"
1.05804597285185e-31,2.47424659720192,0.445,0.106,1.72884711963992e-27,"0","GADL1","AVC"
3.62732770802985e-31,2.05009502707924,0.507,0.145,5.92705347492078e-27,"0","HUNK","AVC"
8.10038219681487e-31,2.57283144312185,0.335,0.053,1.32360245095955e-26,"0","GRIA4","AVC"
9.8552017224047e-31,1.26782945191534,0.793,0.389,1.61033996144093e-26,"0","LEF1","AVC"
1.55722396306707e-30,1.25713748675624,0.868,0.497,2.54450395565159e-26,"0","ANXA2","AVC"
3.50980938050919e-30,0.858255014477499,0.982,0.918,5.73502852775201e-26,"0","BMP5","AVC"
4.86845949925958e-30,3.32676851759119,0.308,0.048,7.95506282179015e-26,"0","COL21A1","AVC"
5.01726853197081e-30,1.8249196190287,0.577,0.199,8.1982167812403e-26,"0","HMCN1","AVC"
1.74426762685938e-29,1.28752970850208,0.863,0.633,2.85013330228823e-25,"0","BEX1","AVC"
2.58869884460301e-29,0.569006971787789,1,0.968,4.22993391208131e-25,"0","EEF1G","AVC"
3.59658221066148e-29,0.794510457855336,0.991,0.886,5.87681533222086e-25,"0","SPARC","AVC"
3.80596887578091e-29,0.610673187650899,1,0.964,6.21895314302601e-25,"0","EEF2","AVC"
4.41193471960615e-29,0.885685650632994,0.956,0.784,7.20910133183646e-25,"0","FAM189A2","AVC"
